Id,SalePrice
1461,122993.164
1462,156581.94
1463,179058.12
1464,184013.31
1465,202671.22
1466,180552.31
1467,175427.8
1468,166908.31
1469,177356.72
1470,121200.78
1471,203079.03
1472,93977.2
1473,96812.47
1474,152781.78
1475,131485.3
1476,379576.38
1477,255649.38
1478,297067.4
1479,288186.1
1480,475598.16
1481,332829.22
1482,217987.61
1483,167625.02
1484,164394.97
1485,174914.62
1486,193757.61
1487,371028.03
1488,239310.89
1489,202929.75
1490,210783.1
1491,194876.19
1492,92211.34
1493,202001.58
1494,286384.7
1495,291705.0
1496,223090.11
1497,174702.78
1498,159647.52
1499,159881.56
1500,139876.92
1501,161460.83
1502,150582.83
1503,304206.44
1504,233202.39
1505,217995.98
1506,187189.1
1507,237278.36
1508,196582.6
1509,160713.78
1510,147693.23
1511,145393.1
1512,164783.12
1513,153149.23
1514,178892.36
1515,189959.27
1516,174568.9
1517,156600.34
1518,135637.25
1519,215307.53
1520,130302.73
1521,133909.84
1522,174944.48
1523,106294.734
1524,125657.05
1525,122088.37
1526,126609.28
1527,112210.98
1528,130290.11
1529,148176.64
1530,178208.52
1531,100420.98
1532,100304.875
1533,150174.11
1534,114641.83
1535,155875.88
1536,114871.516
1537,81274.375
1538,195046.94
1539,216448.31
1540,94130.09
1541,132295.97
1542,141307.66
1543,220755.55
1544,81070.87
1545,114742.195
1546,126614.18
1547,119339.375
1548,135887.97
1549,115331.516
1550,136334.08
1551,120962.31
1552,138209.7
1553,153112.33
1554,106079.65
1555,166176.36
1556,83252.766
1557,101479.555
1558,91968.71
1559,95425.32
1560,139274.88
1561,142008.0
1562,127969.4
1563,117484.336
1564,164061.56
1565,141791.98
1566,233418.17
1567,82879.03
1568,214496.5
1569,132082.47
1570,129574.97
1571,127425.28
1572,150058.64
1573,261777.28
1574,126051.35
1575,214095.34
1576,218469.12
1577,194394.45
1578,147364.81
1579,147914.1
1580,196468.03
1581,155214.66
1582,133086.47
1583,336809.5
1584,226618.62
1585,139845.92
1586,81372.36
1587,102298.05
1588,145562.1
1589,101957.65
1590,136478.1
1591,94416.91
1592,115594.125
1593,129273.39
1594,141941.55
1595,106289.63
1596,229233.2
1597,172727.48
1598,204148.97
1599,203806.88
1600,199857.88
1601,80990.31
1602,105762.96
1603,102321.96
1604,275421.94
1605,243300.45
1606,167514.36
1607,169278.27
1608,214027.84
1609,195939.7
1610,154080.94
1611,150499.66
1612,169044.62
1613,163743.19
1614,121836.805
1615,84397.4
1616,71721.99
1617,93592.29
1618,124536.82
1619,147014.72
1620,157874.31
1621,134006.47
1622,130508.71
1623,312320.72
1624,209751.84
1625,126157.87
1626,170089.2
1627,190215.06
1628,283651.22
1629,185221.12
1630,399111.94
1631,229280.34
1632,249550.39
1633,169889.8
1634,186344.56
1635,182478.0
1636,160482.25
1637,179717.3
1638,209829.34
1639,187438.62
1640,252704.88
1641,185521.56
1642,218450.08
1643,220889.47
1644,224717.12
1645,180947.17
1646,157813.0
1647,171311.73
1648,136955.39
1649,137580.53
1650,114098.18
1651,122907.016
1652,98996.85
1653,108558.91
1654,150020.55
1655,158249.77
1656,147093.22
1657,150020.55
1658,142796.83
1659,134652.17
1660,154868.73
1661,466659.72
1662,409100.06
1663,390021.44
1664,414928.84
1665,312350.34
1666,331072.84
1667,377641.9
1668,336072.56
1669,294819.66
1670,349553.28
1671,246057.7
1672,458205.84
1673,305457.72
1674,242351.98
1675,176812.47
1676,178312.38
1677,210871.3
